Artikelnummer,Farbe
11112,Zinkweiß
11114,Titanweiß
11116,Deckweiß
11118,Zink-Titanweiß
11220,Heller Ocker gebrannt
11224,Neapelgelb dunkel
11226,Neapelgelb hell
11234,Jaune brillant
11236,Zitronengelb
11238,Kadmiumgelb zitron
11240,Kadmiumgelb
11242,Kadmiumgelb hell
11246,Brillantgelb
11248,Indischgelb
11302,Brillantorange
11304,Mohnrot
11306,Zinnoberrot hell
11308,Zinnoberrot dunkel
11312,Kadmiumrot
11314,Kadmiumrot dunkel
11318,Krapprot
11342,Krappdunkel
11344,Karminrot
11346,Rubinrot
11348,Magenta
11352,Tiefviolett
11402,Ultramarinblau dunkel
11404,Ultramarinblau hell
11406,Königsblau
11412,Kobaltblauton
11416,Indigo
11418,Preußischblau
11422,Coelinblau
11424,Azurblau
11500,Phthalogrün
11510,Permanentgelbgrün
11514,Saftgrün
11518,Grüne Erde
11600,Lichter Ocker natur
11602,Gelber Ocker
11608,Siena natur
11610,Siena gebrannt
11618,Lasurrotbraun
11622,Umbra natur
11624,Umbra gebrannt
11626,Vandyckbraun
11702,Eisenoxidschwarz
11704,Elfenbeinschwarz
